,Rent,Neighborhood,Title,Posting Date,Url,Bed/Bath
71,3540,Boston,Luxury Studio Apartment Available for rent,Fri 11 Oct 03:58:59 PM,https://boston.craigslist.org/gbs/apa/d/boston-luxury-studio-apartment/6989766825.html,1BR / 1Ba
72,3100,Boston,Beautiful Two bedroom One bathroom Loft style apartment,Fri 11 Oct 03:58:59 PM,https://boston.craigslist.org/gbs/apa/d/boston-beautiful-two-bedroom-one/6991825087.html,2BR / 1Ba
73,3425,Boston,One Bedroom One Bathroom Luxury Apartment,Fri 11 Oct 03:58:58 PM,https://boston.craigslist.org/gbs/apa/d/boston-one-bedroom-one-bathroom-luxury/6990352338.html,1BR / 1Ba
74,4800,Boston,Three Bedroom two bathroom beautiful loft style apartment,Fri 11 Oct 03:58:57 PM,https://boston.craigslist.org/gbs/apa/d/boston-three-bedroom-two-bathroom/6991838704.html,3BR / 2Ba
75,4800,Boston,Three Bedroom Two Bathroom Loft style Apartment,Fri 11 Oct 03:58:57 PM,https://boston.craigslist.org/gbs/apa/d/boston-three-bedroom-two-bathroom-loft/6991844589.html,3BR / 2Ba
76,2702,East Boston,One Bedroom Apartment available for rent,Fri 11 Oct 03:58:56 PM,https://boston.craigslist.org/gbs/apa/d/east-boston-one-bedroom-apartment/6996134860.html,1BR / 1Ba
77,2070,Burlington,"Stainless steel appliances, Rain showerhead, Smoke-free community",Fri 11 Oct 03:58:50 PM,https://boston.craigslist.org/nwb/apa/d/burlington-stainless-steel-appliances/6981511484.html,0BR / 1Ba
78,4800,Boston,Three bedroom two bathroom Loft style apartment,Fri 11 Oct 03:58:48 PM,https://boston.craigslist.org/gbs/apa/d/boston-three-bedroom-two-bathroom-loft/6991850024.html,3BR / 2Ba
79,2200,Quincy,One Bedroom One Bathroom Luxury Apartment,Fri 11 Oct 03:58:47 PM,https://boston.craigslist.org/gbs/apa/d/quincy-one-bedroom-one-bathroom-luxury/6992105862.html,1BR / 1Ba
80,2200,Quincy,One Bedroom One Bathroom Luxury Apartment,Fri 11 Oct 03:58:47 PM,https://boston.craigslist.org/gbs/apa/d/quincy-one-bedroom-one-bathroom-luxury/6992111994.html,1BR / 1Ba
